RIL,no. of seed,wt,HKW,0,3,6,9,12,15,18,21,24,27
TG 51,100,48.66,48.66,10,7,8,8,10,10,10,10,10,10
TG 22,100,68.76,68.76,10,0,1,1,3,3,3,5,6,10
3,17,14.35,84.41176471,10,7,10,10,10,10,10,10,10,10
5,15,9.02,60.13333333,10,3,3,3,3,3,3,3,3,10
7,24,16.41,68.375,10,10,10,10,10,10,10,10,10,10
8,16,8.1,50.625,10,2,2,2,2,2,2,2,2,10
15,10,7.74,77.4,10,8,10,10,10,10,10,10,10,10
17,20,12.19,60.95,10,10,10,10,10,10,10,10,10,10
18,17,11.52,67.76470588,10,5,5,6,6,7,7,7,7,10
22,20,11.47,57.35,10,10,10,10,10,10,10,10,10,10
25,16,12.07,75.4375,10,10,10,10,10,10,10,10,10,10
28,31,20.46,66,10,10,10,10,10,10,10,10,10,10
31,12,9.93,82.75,10,8,9,9,9,9,9,9,9,10
32,11,8.71,79.18181818,10,10,10,10,10,10,10,10,10,10
35,15,10.38,69.2,10,7,7,7,7,7,7,7,7,10
39,15,12.769.01,85.06666667,10,10,10,10,10,10,10,10,10,10
45,15,9.01,60.06666667,10,10,10,10,10,10,10,10,10,10
57,10,7.2,72,10,3,3,3,3,3,3,3,3,10
60,18,9.55,53.05555556,10,10,10,10,10,10,10,10,10,10
61,30,18.5,61.66666667,10,10,10,10,10,10,10,10,10,10
63,17,11.75,69.11764706,10,8,8,8,8,8,8,8,8,10
70,18,10.31,57.27777778,10,0,1,1,1,1,1,1,1,10
71,14,7.65,54.64285714,10,0,0,0,0,0,0,2,2,10
73,11,6.7,60.90909091,10,10,10,10,10,10,10,10,10,10
79,18,13.07,72.61111111,10,10,10,10,10,10,10,10,10,10
82,8,7.46,93.25,10,3,3,3,3,3,3,3,3,10
84,10,5.67,56.7,10,3,4,4,4,4,5,5,5,10
87,10,6.38,63.8,10,1,1,1,1,1,1,1,1,10
88,12,10.37,86.41666667,10,10,10,10,10,10,10,10,10,10
106,10,7.66,76.6,10,5,6,6,7,7,9,9,9,10
