name,sowing_date,harvesting_date,total_seeds,date_of_germination,number_of_seeds
TG_51,12-01-2023,02-05-2023,17,08-05-2023,17
TG_51,12-01-2023,02-05-2023,17,10-05-2023,17
TG_51,12-01-2023,02-05-2023,17,17-05-2023,17
TG_51,12-01-2023,02-05-2023,17,22-05-2023,17
TG_51,12-01-2023,02-05-2023,17,24-05-2023,17
TG_51,12-01-2023,02-05-2023,17,26-05-2023,17
TG_51,12-01-2023,02-05-2023,17,29-05-2023,17
TG_51,12-01-2023,02-05-2023,17,31-05-2023,17
TG_51,12-01-2023,02-05-2023,17,02-06-2023,17
TG_51,12-01-2023,02-05-2023,17,05-06-2023,17
TG_51,12-01-2023,02-05-2023,17,07-06-2023,17
TG_51,12-01-2023,02-05-2023,17,09-06-2023,17
TG_51,12-01-2023,02-05-2023,17,12-06-2023,17
TG_22,12-01-2023,02-05-2023,17,08-05-2023,0
TG_22,12-01-2023,02-05-2023,17,10-05-2023,0
TG_22,12-01-2023,02-05-2023,17,17-05-2023,0
TG_22,12-01-2023,02-05-2023,17,22-05-2023,0
TG_22,12-01-2023,02-05-2023,17,24-05-2023,0
TG_22,12-01-2023,02-05-2023,17,26-05-2023,0
TG_22,12-01-2023,02-05-2023,17,29-05-2023,0
TG_22,12-01-2023,02-05-2023,17,31-05-2023,0
TG_22,12-01-2023,02-05-2023,17,02-06-2023,0
TG_22,12-01-2023,02-05-2023,17,05-06-2023,0
TG_22,12-01-2023,02-05-2023,17,07-06-2023,0
TG_22,12-01-2023,02-05-2023,17,09-06-2023,0
TG_22,12-01-2023,02-05-2023,17,12-06-2023,17
rill_no_1,12-01-2023,02-05-2023,20,08-05-2023,11
rill_no_1,12-01-2023,02-05-2023,20,10-05-2023,11
rill_no_1,12-01-2023,02-05-2023,20,17-05-2023,11
rill_no_1,12-01-2023,02-05-2023,20,22-05-2023,11
rill_no_1,12-01-2023,02-05-2023,20,24-05-2023,11
rill_no_1,12-01-2023,02-05-2023,20,26-05-2023,11
rill_no_1,12-01-2023,02-05-2023,20,29-05-2023,11
rill_no_1,12-01-2023,02-05-2023,20,31-05-2023,12
rill_no_1,12-01-2023,02-05-2023,20,02-06-2023,12
rill_no_1,12-01-2023,02-05-2023,20,05-06-2023,12
rill_no_1,12-01-2023,02-05-2023,20,07-06-2023,12
rill_no_1,12-01-2023,02-05-2023,20,09-06-2023,12
rill_no_1,12-01-2023,02-05-2023,20,12-06-2023,20
rill_no_10,12-01-2023,02-05-2023,15,08-05-2023,15
rill_no_10,12-01-2023,02-05-2023,15,10-05-2023,15
rill_no_10,12-01-2023,02-05-2023,15,17-05-2023,15
rill_no_10,12-01-2023,02-05-2023,15,22-05-2023,15
rill_no_10,12-01-2023,02-05-2023,15,24-05-2023,15
rill_no_10,12-01-2023,02-05-2023,15,26-05-2023,15
rill_no_10,12-01-2023,02-05-2023,15,29-05-2023,15
