RIL,day0,day3,day6,day9,day12,day15,day18,day21,day24,day27
TG_51,10.0,7.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0
TG_22,10.0,0.0,1.0,1.0,3.0,3.0,3.0,5.0,6.0,10.0
ril_no_3,58.82,41.18,58.82,58.82,58.82,58.82,58.82,58.82,58.82,58.82
ril_no_5,66.67,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,66.67
ril_no_7,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67
ril_no_8,62.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,62.5
ril_no_15,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ril_no_17,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
ril_no_18,58.82,29.41,29.41,35.29,35.29,41.18,41.18,41.18,41.18,58.82
ril_no_22,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
ril_no_25,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5
ril_no_28,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26
ril_no_31,83.33,66.67,75.0,75.0,75.0,75.0,75.0,75.0,75.0,83.33
ril_no_32,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91
ril_no_35,66.67,46.67,46.67,46.67,46.67,46.67,46.67,46.67,46.67,66.67
ril_no_39,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67
ril_no_45,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67
ril_no_57,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,100.0
ril_no_60,55.56,55.56,55.56,55.56,55.56,55.56,55.56,55.56,55.56,55.56
ril_no_61,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33
ril_no_63,58.82,47.06,47.06,47.06,47.06,47.06,47.06,47.06,47.06,58.82
ril_no_70,55.56,0.0,5.56,5.56,5.56,5.56,5.56,5.56,5.56,55.56
ril_no_71,71.43,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,71.43
ril_no_73,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91
ril_no_79,55.56,55.56,55.56,55.56,55.56,55.56,55.56,55.56,55.56,55.56
ril_no_82,125.0,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,125.0
ril_no_84,100.0,30.0,40.0,40.0,40.0,40.0,50.0,50.0,50.0,100.0
ril_no_87,100.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
ril_no_88,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33
ril_no_106,100.0,50.0,60.0,60.0,70.0,70.0,90.0,90.0,90.0,100.0
