Sr. no.,DO Sowing,DO Harvesting,No. of seeds,DO Germination,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds
TG_51,12-01-2023,02-05-2023,17,08-05-2023,17,10-05-2023,17,17-05-2023,17,22-05-2023,17,24-05-2023,17,26-05-2023,17,29-05-2023,17,31-05-2023,17,02-06-2023,17,05-06-2023,17,07-06-2023,17,09-06-2023,17,12-06-2023,17
TG_22,12-01-2023,02-05-2023,17,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,12-06-2023,17
1,12-01-2023,02-05-2023,20,08-05-2023,11,10-05-2023,11,17-05-2023,11,22-05-2023,11,24-05-2023,11,26-05-2023,11,29-05-2023,11,31-05-2023,12,02-06-2023,12,05-06-2023,12,07-06-2023,12,09-06-2023,12,12-06-2023,20
2,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
3,12-01-2023,02-05-2023,10,08-05-2023,1,10-05-2023,2,17-05-2023,2,22-05-2023,2,24-05-2023,2,26-05-2023,2,29-05-2023,2,31-05-2023,3,02-06-2023,3,05-06-2023,3,07-06-2023,3,09-06-2023,3,12-06-2023,10
4,12-01-2023,02-05-2023,16,08-05-2023,16,10-05-2023,16,17-05-2023,16,22-05-2023,16,24-05-2023,16,26-05-2023,16,29-05-2023,16,31-05-2023,16,02-06-2023,16,05-06-2023,16,07-06-2023,16,09-06-2023,16,12-06-2023,16
5,12-01-2023,02-05-2023,13,08-05-2023,1,10-05-2023,2,17-05-2023,2,22-05-2023,2,24-05-2023,2,26-05-2023,2,29-05-2023,2,31-05-2023,2,02-06-2023,2,05-06-2023,2,07-06-2023,2,09-06-2023,2,12-06-2023,13
6,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,12-06-2023,0
7,12-01-2023,02-05-2023,16,08-05-2023,16,10-05-2023,16,17-05-2023,16,22-05-2023,16,24-05-2023,16,26-05-2023,16,29-05-2023,16,31-05-2023,16,02-06-2023,16,05-06-2023,16,07-06-2023,16,09-06-2023,16,12-06-2023,16
8,12-01-2023,02-05-2023,16,08-05-2023,1,10-05-2023,1,17-05-2023,1,22-05-2023,1,24-05-2023,1,26-05-2023,1,29-05-2023,1,31-05-2023,2,02-06-2023,2,05-06-2023,2,07-06-2023,2,09-06-2023,2,12-06-2023,16
9,12-01-2023,02-05-2023,16,08-05-2023,16,10-05-2023,16,17-05-2023,16,22-05-2023,16,24-05-2023,16,26-05-2023,16,29-05-2023,16,31-05-2023,16,02-06-2023,16,05-06-2023,16,07-06-2023,16,09-06-2023,16,12-06-2023,16
10,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
11,12-01-2023,02-05-2023,23,08-05-2023,23,10-05-2023,23,17-05-2023,23,22-05-2023,23,24-05-2023,23,26-05-2023,23,29-05-2023,23,31-05-2023,23,02-06-2023,23,05-06-2023,23,07-06-2023,23,09-06-2023,23,12-06-2023,23
12,12-01-2023,02-05-2023,21,08-05-2023,21,10-05-2023,21,17-05-2023,21,22-05-2023,21,24-05-2023,21,26-05-2023,21,29-05-2023,21,31-05-2023,21,02-06-2023,21,05-06-2023,21,07-06-2023,21,09-06-2023,21,12-06-2023,21
13,12-01-2023,02-05-2023,18,08-05-2023,18,10-05-2023,18,17-05-2023,18,22-05-2023,18,24-05-2023,18,26-05-2023,18,29-05-2023,18,31-05-2023,18,02-06-2023,18,05-06-2023,18,07-06-2023,18,09-06-2023,18,12-06-2023,18
14,12-01-2023,02-05-2023,14,08-05-2023,3,10-05-2023,3,17-05-2023,3,22-05-2023,3,24-05-2023,3,26-05-2023,3,29-05-2023,3,31-05-2023,3,02-06-2023,3,05-06-2023,3,07-06-2023,3,09-06-2023,3,12-06-2023,14
15,12-01-2023,02-05-2023,21,08-05-2023,6,10-05-2023,6,17-05-2023,6,22-05-2023,6,24-05-2023,6,26-05-2023,6,29-05-2023,6,31-05-2023,6,02-06-2023,6,05-06-2023,6,07-06-2023,6,09-06-2023,6,12-06-2023,21
16,12-01-2023,02-05-2023,14,08-05-2023,9,10-05-2023,9,17-05-2023,9,22-05-2023,9,24-05-2023,9,26-05-2023,9,29-05-2023,9,31-05-2023,10,02-06-2023,10,05-06-2023,10,07-06-2023,10,09-06-2023,10,12-06-2023,14
