Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17
RIL,0,3,6,9,12,15,18,21,24,27,30,36,39,42,45,48
TG 51,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
TG 22,10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,10
1,,,,,,,,,,,,,,,,10
2,,,,,,,,,,,,,,,,10
3,10,3,3,3,3,4,5,6,6,8,10,10,10,10,10,10
4,,,,,,,,,,,,,,,,10
5,10,2,2,3,3,3,4,4,4,5,8,9,9,9,9,10
6,,,,,,,,,,,,,,,,10
7,,,,,,,,,,,,,,,,10
8,10,0,0,0,0,0,0,0,0,6,8,9,9,9,9,10
9,,,,,,,,,,,,,,,,10
10,,,,,,,,,,,,,,,,10
11,,,,,,,,,,,,,,,,10
12,,,,,,,,,,,,,,,,10
13,,,,,,,,,,,,,,,,10
14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
17,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
18,10,3,3,3,3,3,3,3,3,6,7,8,8,9,9,10
19,,,,,,,,,,,,,,,,10
20,,,,,,,,,,,,,,,,10
21,,,,,,,,,,,,,,,,10
22,,,,,,,,,,,,,,,,10
23,,,,,,,,,,,,,,,,10
24,,,,,,,,,,,,,,,,10
25,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
26,10,6,6,6,6,8,9,9,9,10,10,10,10,10,10,10
27,10,2,2,2,2,2,2,2,2,2,2,2,2,4,4,10
28,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
29,,,,,,,,,,,,,,,,10
30,,,,,,,,,,,,,,,,10
31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
32,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
33,,,,,,,,,,,,,,,,10
34,,,,,,,,,,,,,,,,10
35,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,10
36,,,,,,,,,,,,,,,,10
37,,,,,,,,,,,,,,,,10
38,,,,,,,,,,,,,,,,10
39,10,7,7,7,7,7,8,8,9,10,10,10,10,10,10,10
40,,,,,,,,,,,,,,,,10
41,,,,,,,,,,,,,,,,10
42,,,,,,,,,,,,,,,,10
43,,,,,,,,,,,,,,,,10
44,,,,,,,,,,,,,,,,10
45,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
46,,,,,,,,,,,,,,,,10
47,,,,,,,,,,,,,,,,10
48,,,,,,,,,,,,,,,,10
49,,,,,,,,,,,,,,,,10
50,,,,,,,,,,,,,,,,10
51,,,,,,,,,,,,,,,,10
52,,,,,,,,,,,,,,,,10
53,10,6,6,6,6,6,6,6,6,9,9,9,9,10,10,10
54,,,,,,,,,,,,,,,,10
55,,,,,,,,,,,,,,,,10
56,,,,,,,,,,,,,,,,10
57,10,2,2,2,2,2,2,2,2,5,5,7,7,7,7,10
58,,,,,,,,,,,,,,,,10
59,10,6,6,6,6,6,6,6,6,7,7,7,7,7,7,10
60,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
61,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
62,10,1,1,1,1,1,2,2,2,4,4,4,4,4,4,10
63,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
64,,,,,,,,,,,,,,,,10
65,,,,,,,,,,,,,,,,10
66,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
67,10,1,1,1,1,1,1,1,2,3,6,6,6,7,7,10
68,,,,,,,,,,,,,,,,10
69,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
70,10,1,1,1,1,1,1,1,1,2,2,2,2,2,2,10
71,10,0,0,0,0,0,0,0,0,0,0,2,2,4,5,10
72,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
73,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
74,,,,,,,,,,,,,,,,10
75,,,,,,,,,,,,,,,,10
76,,,,,,,,,,,,,,,,10
77,,,,,,,,,,,,,,,,10
78,,,,,,,,,,,,,,,,10
79,,,,,,,,,,,,,,,,10
80,,,,,,,,,,,,,,,,10
81,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10
82,10,1,1,1,1,1,1,1,1,1,1,2,2,4,4,10
83,10,4,4,4,4,4,5,5,5,6,7,7,7,8,8,10
84,10,2,2,2,2,2,2,2,2,5,6,9,9,9,9,10
85,,,,,,,,,,,,,,,,10
86,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
87,10,0,0,1,1,1,1,1,2,2,2,3,3,3,3,10
88,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10
89,,,,,,,,,,,,,,,,10
90,,,,,,,,,,,,,,,,10
91,,,,,,,,,,,,,,,,10
92,10,0,0,0,0,0,0,0,0,0,0,2,2,2,2,10
93,,,,,,,,,,,,,,,,10
94,,,,,,,,,,,,,,,,10
95,,,,,,,,,,,,,,,,10
96,,,,,,,,,,,,,,,,10
97,,,,,,,,,,,,,,,,10
98,,,,,,,,,,,,,,,,10
99,,,,,,,,,,,,,,,,10
100,,,,,,,,,,,,,,,,10
101,,,,,,,,,,,,,,,,10
102,,,,,,,,,,,,,,,,10
103,,,,,,,,,,,,,,,,10
104,,,,,,,,,,,,,,,,10
105,,,,,,,,,,,,,,,,10
106,10,0,0,0,0,0,0,0,0,5,7,7,7,8,8,10
107,,,,,,,,,,,,,,,,10
108,,,,,,,,,,,,,,,,10
109,,,,,,,,,,,,,,,,10
110,10,0,1,1,1,1,1,2,4,4,4,9,9,9,9,10
111,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
112,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
113,,,,,,,,,,,,,,,,10
114,,,,,,,,,,,,,,,,10
115,,,,,,,,,,,,,,,,10
116,,,,,,,,,,,,,,,,10
117,,,,,,,,,,,,,,,,10
118,,,,,,,,,,,,,,,,10
119,10,0,0,0,0,0,0,0,0,1,1,3,5,5,5,10
120,,,,,,,,,,,,,,,,10
121,,,,,,,,,,,,,,,,10
122,,,,,,,,,,,,,,,,10
123,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
124,,,,,,,,,,,,,,,,10
125,,,,,,,,,,,,,,,,10
126,,,,,,,,,,,,,,,,10
127,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
128,,,,,,,,,,,,,,,,10
129,,,,,,,,,,,,,,,,10
130,,,,,,,,,,,,,,,,10
131,,,,,,,,,,,,,,,,10
132,10,3,3,3,3,3,4,5,5,7,9,9,9,10,10,10
133,,,,,,,,,,,,,,,,10
134,,,,,,,,,,,,,,,,10
135,,,,,,,,,,,,,,,,10
136,10,0,0,0,0,0,1,1,1,6,10,10,10,10,10,10
137,,,,,,,,,,,,,,,,10
